pattern,replacement
세종시소방본부,세종소방본부 
하늘 도시,하늘도시 
인천타워, 인천타워 
신호듬,신호등 
골든하버,골든하버 
교통 대책,교통대책 
지하철, 지하철  
뚜껑이,뚜껑 
m버스는,m버스 
m버스를,m버스 
노선을,노선 
버스 정류장,버스정류장 
버스 노선,버스노선 
원안대로,원안 
1호선,1호선 
2호선,2호선 
3호선,3호선 
4호선,4호선 
5호선,5호선 
6호선,6호선 
7호선,7호선 
8호선,8호선 
9호선,9호선 
마을버스,마을버스 
검단지역에,검단지역 
청라제일풍경채,제일풍경채 
경자청,경제자유구역청 
경제청,경제자유구역청 
경제자유구역청,경제자유구역청 
e편한세상,이편한세상 
송도에,송도 
송도의,송도 
국제업무지구의,국제업무지구 
국제업무지구에,국제업무지구 
11공구는,11공구 
11공구에,11공구 
유치를,유치 
유치에,유치 
유치와,유치 
시의,시 
도시공사를,도시공사 
영종도와,영종도 
공사를,공사 
버스노선과,버스노선 
영흥도에,영흥도 
영종지구를,영종지구 
다리로,다리 
관리주체에,관리주체 
불친절에,불친절 
건축공사로,건축공사 
서류접수에,서류접수 
방지시설의,방지시설 
물이,물 
도로에,도로 
도로가,도로 
차량이,차량 
차량을,차량 
차를,차 
전화가,전화 
이사를,이사 
이사로,이사 
수도가,수도 
주차를,주차 
속도로,속도 
본인이,본인 
계량기가,계량기 
수도요금이,수도요금 
시민이,시민 
돈을,돈 
주차장에,주차장 
연락을,연락 
담당자가,담당자 
소리가,소리 
냄새가,냄새 
인도에,인도 
주차된,주차 
누수가,누수 
누수로,누수 
인입되었으나,인입 
안내받은,안내 
번호가,번호 
문자가,문자 
전화하니,전화 
요금을,요금 
접수를,접수 
통화를,통화 
통화가,통화 
남동구에,남동구 
서구에,서구 
입금이,입금 
차에,차 
문자를,문자 
경찰서에,경찰서 
연락처가,연락처 
쓰레기를,쓰레기 
병원에,병원 
남동구청에,남동구청 
안내를,안내 
음성이,음성 
직원이,직원 
계량기를,계량기 
길을,길 
주소가,주소 
강아지가,강아지 
단속이,단속 
서구청에,서구청 
주말에,주말 
담당자와,담당자 
담당자를,담당자 
연락처를,연락처 
술을,술 
상담을,상담 
전화해도,전화 
전화했더니,전화 
전화를,전화 
택시가,택시 
주인이,주인 
서류를,서류 
당직실로,당직실 
터미널로,터미널 
버스가,버스 
버스는,버스 
번호로,번호 
시청에,시청 
터미널인지,터미널 
1터미널인지,1터미널 
1터미널로,1터미널 
2터미널인지,2터미널 
2터미널로,2터미널 
제2여객터미널로,제2여객터미널 
연락이,연락 
비행기가,비행기 
비행기를,비행기 
시간이,시간 
양이가, 고양이 
양이를, 고양이 
길고양이가,길고양이 
길고양이를,길고양이
강아지를,강아지 
개가,강아지 
개를,강아지 
유기견이,유기견 
새끼고양이가,새끼고양이 
등록을,등록 
비둘기가,비둘기 
물건을,물건 
보호중이,보호중
한마리가,한마리 
담당자에게,담당자 
통신판매업을,통신판매업 
목줄을,목줄 
구청에,구청 
일을,일 
금액이,금액 
수급비가,수급비 
수급자이고,수급자 
수급자로,수급자 
수급자가,수급자 
자녀가,자녀 
혜택을,혜택 
혜택이,혜택 
어머니가,어머니 
급여가,급여 
아이를,아이 
동주민센터에,동주민센터 
동주민센터로,동주민센터 
주민센터로,주민센터 
사항이,사항 
내용이,내용 
내용을,내용 
부서로,부서 
본인은,본인 
어린이집을,어린이집 
도움을,도움 
주거급여가,주거급여 
아버님이,아버님 
일자리를,일자리 
